"Image ID";"Product ID";Position;Cover;Legend
24;8;1;1;"Aluminum Road Bike"
25;8;2;;"Aluminum Road Bike"
26;8;3;;"Aluminum Road Bike"
27;8;4;;"Aluminum Road Bike"
28;8;5;;"Aluminum Road Bike"
29;8;6;;"Aluminum Road Bike"
30;8;7;;"Aluminum Road Bike"
31;8;8;;"Aluminum Road Bike"
32;9;1;1;"Fraction Multi-Sport Helmet"
33;9;2;;"Fraction Multi-Sport Helmet"
34;9;3;;"Fraction Multi-Sport Helmet"
35;9;4;;"Fraction Multi-Sport Helmet"
36;9;5;;"Fraction Multi-Sport Helmet"
37;9;6;;"Fraction Multi-Sport Helmet"
38;9;7;;"Fraction Multi-Sport Helmet"
39;9;8;;"Fraction Multi-Sport Helmet"
40;9;9;;"Fraction Multi-Sport Helmet"
41;9;10;;"Fraction Multi-Sport Helmet"
42;10;1;1;"Bell Solar Bike Helmet"
43;10;2;;"Bell Solar Bike Helmet"
44;10;3;;"Bell Solar Bike Helmet"
45;10;4;;"Bell Solar Bike Helmet"
46;10;5;;"Bell Solar Bike Helmet"
47;10;6;;"Bell Solar Bike Helmet"
48;10;7;;"Bell Solar Bike Helmet"
49;10;8;;"Bell Solar Bike Helmet"
50;10;9;;"Bell Solar Bike Helmet"
51;10;10;;"Bell Solar Bike Helmet"
52;10;11;;"Bell Solar Bike Helmet"
53;11;1;1;"Bicycle Panniers"
54;11;2;;"Bicycle Panniers"
55;11;3;;"Bicycle Panniers"
56;11;4;;"Bicycle Panniers"
57;11;5;;"Bicycle Panniers"
58;11;6;;"Bicycle Panniers"
59;12;1;1;" Steel Floor Pump with Gauge"
60;12;2;;" Steel Floor Pump with Gauge"
61;12;3;;" Steel Floor Pump with Gauge"
62;12;4;;" Steel Floor Pump with Gauge"
63;12;5;;" Steel Floor Pump with Gauge"
64;12;6;;" Steel Floor Pump with Gauge"
65;12;7;;" Steel Floor Pump with Gauge"
66;12;8;;" Steel Floor Pump with Gauge"
67;13;1;1;"1.0 Fat Bike"
68;13;2;;"1.0 Fat Bike"
69;13;3;;"1.0 Fat Bike"
70;13;4;;"1.0 Fat Bike"
71;13;5;;"1.0 Fat Bike"
72;13;6;;"1.0 Fat Bike"
73;14;1;1;" Lightweight Aluminum Water Bottle Cage"
74;14;2;;" Lightweight Aluminum Water Bottle Cage"
75;14;3;;" Lightweight Aluminum Water Bottle Cage"
76;14;4;;" Lightweight Aluminum Water Bottle Cage"
77;14;5;;" Lightweight Aluminum Water Bottle Cage"
78;14;6;;" Lightweight Aluminum Water Bottle Cage"
79;14;7;;" Lightweight Aluminum Water Bottle Cage"
80;14;8;;" Lightweight Aluminum Water Bottle Cage"
81;15;1;1;"Bicycle Seatpost"
82;15;2;;"Bicycle Seatpost"
83;15;3;;"Bicycle Seatpost"
84;15;4;;"Bicycle Seatpost"
85;15;5;;"Bicycle Seatpost"
86;15;6;;"Bicycle Seatpost"
87;15;7;;"Bicycle Seatpost"
