"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
8;1;"Aluminum Road Bike";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;256;256;1;320.000000;1;;;;;00101;;3;3;;;0.000000;0.000000;0.000000;0.000000;0.000000;3599;1;both;0.00;;204.8;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill.</p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;aluminum-road-bike;;;1;0000-00-00;"2015-09-28 05:17:37";1;http://192.168.51.87/theme_1284/img/p/2/4/24.jpg,http://192.168.51.87/theme_1284/img/p/2/5/25.jpg,http://192.168.51.87/theme_1284/img/p/2/6/26.jpg,http://192.168.51.87/theme_1284/img/p/2/7/27.jpg,http://192.168.51.87/theme_1284/img/p/2/8/28.jpg,http://192.168.51.87/theme_1284/img/p/2/9/29.jpg,http://192.168.51.87/theme_1284/img/p/3/0/30.jpg,http://192.168.51.87/theme_1284/img/p/3/1/31.jpg;0;8:296:1,9:355:2,10:300:3,11:357:4;0;new;1;1;1;2;1;0;;;12,13,14,15,16,17,19;;1:0:0:,2:1:0:;;"2015-10-12 10:40:52";320.000000
9;1;"Fraction Multi-Sport Helmet";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;8;8;1;10.000000;1;;;;;00102;;1;7;;;0.000000;0.000000;0.000000;0.000000;0.000000;0;1;both;0.00;;6.4;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. </p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;fraction-multi-sport-helmet;;;1;0000-00-00;"2015-09-28 05:17:37";1;http://192.168.51.87/theme_1284/img/p/3/2/32.jpg,http://192.168.51.87/theme_1284/img/p/3/3/33.jpg,http://192.168.51.87/theme_1284/img/p/3/4/34.jpg,http://192.168.51.87/theme_1284/img/p/3/5/35.jpg,http://192.168.51.87/theme_1284/img/p/3/6/36.jpg,http://192.168.51.87/theme_1284/img/p/3/7/37.jpg,http://192.168.51.87/theme_1284/img/p/3/8/38.jpg,http://192.168.51.87/theme_1284/img/p/3/9/39.jpg,http://192.168.51.87/theme_1284/img/p/4/0/40.jpg,http://192.168.51.87/theme_1284/img/p/4/1/41.jpg;0;8:302:1,9:375:2,10:376:3,11:309:4;0;new;0;0;0;2;1;0;;;11,12,13,14,15,16,17,19,21;;;;"2015-09-28 05:17:37";10.000000
10;1;"Bell Solar Bike Helmet";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;16;16;1;20.000000;1;;;;;00103;;8;9;;;0.000000;0.000000;0.000000;0.000000;0.000000;7498;1;both;0.00;;12.8;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill.</p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;bell-solar-bike-helmet;;;1;0000-00-00;"2015-09-28 05:17:37";1;http://192.168.51.87/theme_1284/img/p/4/2/42.jpg,http://192.168.51.87/theme_1284/img/p/4/3/43.jpg,http://192.168.51.87/theme_1284/img/p/4/4/44.jpg,http://192.168.51.87/theme_1284/img/p/4/5/45.jpg,http://192.168.51.87/theme_1284/img/p/4/6/46.jpg,http://192.168.51.87/theme_1284/img/p/4/7/47.jpg,http://192.168.51.87/theme_1284/img/p/4/8/48.jpg,http://192.168.51.87/theme_1284/img/p/4/9/49.jpg,http://192.168.51.87/theme_1284/img/p/5/0/50.jpg,http://192.168.51.87/theme_1284/img/p/5/1/51.jpg,http://192.168.51.87/theme_1284/img/p/5/2/52.jpg;0;8:302:1,9:306:2,10::3,11:309:4;0;new;0;0;0;2;1;0;;;11,12,13,14,15,16,17,19,21;;;;"2015-09-28 05:17:37";20.000000
11;1;"Bicycle Panniers";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;21.6;21.6;1;27.000000;1;;;;;00104;;6;10;;;0.000000;0.000000;0.000000;0.000000;0.000000;1500;1;both;0.00;;0;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill.</p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;bicycle-panniers;;;1;0000-00-00;"2015-09-28 05:17:37";1;http://192.168.51.87/theme_1284/img/p/5/3/53.jpg,http://192.168.51.87/theme_1284/img/p/5/4/54.jpg,http://192.168.51.87/theme_1284/img/p/5/5/55.jpg,http://192.168.51.87/theme_1284/img/p/5/6/56.jpg,http://192.168.51.87/theme_1284/img/p/5/7/57.jpg,http://192.168.51.87/theme_1284/img/p/5/8/58.jpg;0;8::1,9:298:2,10::3,11:301:4;0;new;0;0;0;2;1;0;;;11,12,13,14,15,16,17,19,21;;;;"2015-09-28 05:17:37";27.000000
12;1;" Steel Floor Pump with Gauge";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;36;36;1;36.000000;1;;;;;00105;;4;8;;;0.000000;0.000000;0.000000;0.000000;0.000000;1798;1;both;0.00;;36;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill.</p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;-steel-floor-pump-with-gauge;;;1;0000-00-00;"2015-09-28 05:17:37";1;http://192.168.51.87/theme_1284/img/p/5/9/59.jpg,http://192.168.51.87/theme_1284/img/p/6/0/60.jpg,http://192.168.51.87/theme_1284/img/p/6/1/61.jpg,http://192.168.51.87/theme_1284/img/p/6/2/62.jpg,http://192.168.51.87/theme_1284/img/p/6/3/63.jpg,http://192.168.51.87/theme_1284/img/p/6/4/64.jpg,http://192.168.51.87/theme_1284/img/p/6/5/65.jpg,http://192.168.51.87/theme_1284/img/p/6/6/66.jpg;0;8:302:1,9:303:2,10::3,11:307:4;0;new;0;0;0;2;1;0;;;11,12,13,14,15,16,17,19,21;;;;"2015-09-28 05:17:37";36.000000
13;1;"1.0 Fat Bike";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;720;720;1;720.000000;1;;;;;00106;;8;4;;;0.000000;0.000000;0.000000;0.000000;0.000000;3199;1;both;0.00;;720;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. </p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;0-fat-bike;;;1;0000-00-00;"2015-09-28 05:17:37";1;http://192.168.51.87/theme_1284/img/p/6/7/67.jpg,http://192.168.51.87/theme_1284/img/p/6/8/68.jpg,http://192.168.51.87/theme_1284/img/p/6/9/69.jpg,http://192.168.51.87/theme_1284/img/p/7/0/70.jpg,http://192.168.51.87/theme_1284/img/p/7/1/71.jpg,http://192.168.51.87/theme_1284/img/p/7/2/72.jpg;0;8:310:1,9:311:2,10::3,11:313:4;0;new;0;0;0;2;1;0;;;10,11,12,13,14,15,16,17,19,21;;;;"2015-09-28 05:17:37";720.000000
14;1;" Lightweight Aluminum Water Bottle Cage";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;9;9;1;9.000000;1;;;;;00107;;8;11;;;0.000000;0.000000;0.000000;0.000000;0.000000;1199;1;both;0.00;;9;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. </p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;-lightweight-aluminum-water-bottle-cage;;;1;0000-00-00;"2015-09-28 05:17:38";1;http://192.168.51.87/theme_1284/img/p/7/3/73.jpg,http://192.168.51.87/theme_1284/img/p/7/4/74.jpg,http://192.168.51.87/theme_1284/img/p/7/5/75.jpg,http://192.168.51.87/theme_1284/img/p/7/6/76.jpg,http://192.168.51.87/theme_1284/img/p/7/7/77.jpg,http://192.168.51.87/theme_1284/img/p/7/8/78.jpg,http://192.168.51.87/theme_1284/img/p/7/9/79.jpg,http://192.168.51.87/theme_1284/img/p/8/0/80.jpg;0;8:314:1,9:315:2,10::3,11:317:4;0;new;0;0;0;2;1;0;;;10,11,12,13,14,15,16,17,19,21,22;;;;"2015-09-28 05:17:38";9.000000
15;1;"Bicycle Seatpost";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;30;30;1;30.000000;1;;;;;00108;;1;5;;;0.000000;0.000000;0.000000;0.000000;0.000000;1800;1;both;0.00;;30;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill.</p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;bicycle-seatpost;;;1;0000-00-00;"2015-09-28 05:17:38";1;http://192.168.51.87/theme_1284/img/p/8/1/81.jpg,http://192.168.51.87/theme_1284/img/p/8/2/82.jpg,http://192.168.51.87/theme_1284/img/p/8/3/83.jpg,http://192.168.51.87/theme_1284/img/p/8/4/84.jpg,http://192.168.51.87/theme_1284/img/p/8/5/85.jpg,http://192.168.51.87/theme_1284/img/p/8/6/86.jpg,http://192.168.51.87/theme_1284/img/p/8/7/87.jpg;0;8:314:1,9:319:2,10::3,11:321:4;0;new;0;0;0;2;1;0;;;10,11,12,13,14,15,16,17,19,21,22;;;;"2015-09-28 05:17:38";30.000000
16;1;"Bicycle Bag with Expandable Mini Panniers";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;48;48;1;60.000000;0;;;;;00109;;1;6;;;0.000000;0.000000;0.000000;0.000000;0.000000;2400;1;both;0.00;;38.4;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. </p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;bicycle-bag-with-expandable-mini-panniers;;;1;0000-00-00;"2015-09-28 05:17:38";1;http://192.168.51.87/theme_1284/img/p/8/8/88.jpg,http://192.168.51.87/theme_1284/img/p/8/9/89.jpg,http://192.168.51.87/theme_1284/img/p/9/0/90.jpg,http://192.168.51.87/theme_1284/img/p/9/1/91.jpg,http://192.168.51.87/theme_1284/img/p/9/2/92.jpg,http://192.168.51.87/theme_1284/img/p/9/3/93.jpg;0;8:314:1,9:323:2,10::3,11:325:4;0;new;0;0;0;2;1;0;;;10,11,12,13,14,15,16,17,19,21,22;;;;"2015-09-28 05:17:38";60.000000
17;1;"SafeCycler LED Bike Lights";2,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;9.6;9.6;1;12.000000;0;;;;;00110;;4;2;;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;7.68;"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill.</p>";"<p>Do you remember what it is like to be cruising on the boulevard and catching fresh spring wind on the shiny and chromed old school bike? We adore that unforgettable feeling that takes your breath away when you are rolling down from the steep hill. Bikes were our founder’s love from the 2nd grade (the time when his parents bought him his first Black Flash city bike). Since that time he’s decided to open his own store that would sell everything that is connected with bikes. So, as you can see dreams come true and today we’re glad to welcome you at our Bike Store.</p>
<p>Our online shop is the best place to buy bikes, accessories and other related products. Perfect service, reliable shipping system and flexible discount and loyalty programs - these are the main components that have ensured the success of our business. Great team chemistry and flawless customer care will surprise you instantly and you’ll notice that you are in a right place where people know everything about bicycles.</p>
<p>So, it doesn’t matter whether you are an experienced bicycle owner or just a young fellow who is looking for its first machine – we will always help you to find the perfect solution. Stay with our store and let’s spread bike culture all over the web.</p>";;;;;safecycler-led-bike-lights;;;1;0000-00-00;"2015-09-28 05:17:38";1;http://192.168.51.87/theme_1284/img/p/9/4/94.jpg,http://192.168.51.87/theme_1284/img/p/9/5/95.jpg,http://192.168.51.87/theme_1284/img/p/9/6/96.jpg,http://192.168.51.87/theme_1284/img/p/9/7/97.jpg,http://192.168.51.87/theme_1284/img/p/9/8/98.jpg,http://192.168.51.87/theme_1284/img/p/9/9/99.jpg;0;8::1,9:327:2,10::3,11:329:4;0;new;0;0;0;2;1;0;;;10,11,12,13,14,15,16,17,19,21,22;;;;"2015-09-28 05:17:38";12.000000
